epoch,loss,mae,r2,rmse,val_loss,val_mae,val_r2,val_rmse,learning_rate
1,257.1048278808594,8.655264854431152,0.7113845944404602,16.034488677978516,16.912755966186523,2.9459314346313477,0.9809579253196716,4.112512111663818,0.0010000000474974513
2,35.66301727294922,4.478092193603516,0.9599661827087402,5.9718523025512695,9.87936019897461,2.1804628372192383,0.9888768196105957,3.1431448459625244,0.0010000000474974513
3,27.41948699951172,3.906162977218628,0.969219982624054,5.236361980438232,16.69448471069336,3.198730230331421,0.9812036752700806,4.085888385772705,0.0010000000474974513
4,20.170801162719727,3.3168723583221436,0.9773570895195007,4.491191387176514,47.62845993041992,5.853405952453613,0.9463751912117004,6.901337623596191,0.0010000000474974513
5,15.927809715270996,2.9271750450134277,0.9821200966835022,3.9909660816192627,42.18387222290039,5.352819919586182,0.9525052309036255,6.494911193847656,0.0010000000474974513
6,12.831082344055176,2.6184496879577637,0.9855963587760925,3.582050085067749,48.171417236328125,5.6327948570251465,0.9457638263702393,6.940563201904297,0.0010000000474974513
7,10.655872344970703,2.3785054683685303,0.9880381226539612,3.264333486557007,48.112060546875,5.505984306335449,0.9458307027816772,6.936285972595215,0.0010000000474974513
8,8.487626075744629,2.1046547889709473,0.990472137928009,2.9133529663085938,41.92489242553711,5.128542423248291,0.9527968168258667,6.4749436378479,0.0005000000237487257
9,7.716574192047119,1.9957150220870972,0.9913377165794373,2.777872323989868,31.656734466552734,4.355949878692627,0.9643577337265015,5.626431941986084,0.0005000000237487257
10,7.1004204750061035,1.907993197441101,0.9920293688774109,2.664661407470703,33.472129821777344,4.441263198852539,0.9623137712478638,5.785510540008545,0.0005000000237487257
11,6.7175822257995605,1.8506115674972534,0.9924591183662415,2.591830015182495,30.12643814086914,4.212098598480225,0.9660806655883789,5.488755702972412,0.0005000000237487257
12,6.222072124481201,1.7767525911331177,0.9930153489112854,2.494408130645752,28.70919418334961,4.05821418762207,0.9676763415336609,5.358096122741699,0.0005000000237487257
13,5.499348163604736,1.6486657857894897,0.9938266277313232,2.34506893157959,32.30947494506836,4.403469085693359,0.9636228084564209,5.684142589569092,0.0002500000118743628
14,5.329686164855957,1.6286488771438599,0.9940171241760254,2.3086113929748535,28.148408889770508,4.100111961364746,0.9683077335357666,5.305507183074951,0.0002500000118743628
